Locus_ID,Description,GO
Os05g0112750,"Phosphatidylinositol transfer protein-like, N-terminal domain containing protein.",
Os05g0112800,Protein of unknown function DUF26 domain containing protein.,
Os05g0113000 ,"Amino acid-binding ACT domain containing protein., Similar to Amino acid binding protein. ","Biological Process: metabolic process (GO:0008152), Molecular Function: amino acid binding (GO:0016597), "
Os05g0113300,Cation/H+ exchanger domain containing protein.,"Biological Process: cation transport (GO:0006812), Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: solute:hydrogen antiporter activity (GO:0015299)"
Os05g0113400,Similar to Actin-depolymerizing factor 2 (ADF 2).,"Cellular Component: intracellular (GO:0005622), Molecular Function: actin binding (GO:0003779)"
Os05g0114000,Similar to PRLI-interacting factor F (Fragment).,"Biological Process: phosphate-containing compound metabolic process (GO:0006796), Cellular Component: cytoplasm (GO:0005737), Molecular Function: magnesium ion binding (GO:0000287), Molecular Function: inorganic diphosphatase activity (GO:0004427)"
Os05g0114500,RNA recognition motif domain domain containing protein.,"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"
Os05g0114700,Myb-type HTH DNA-binding domain domain containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"
Os05g0115100 ,"Hypothetical conserved gene., Protein of unknown function DUF1635 family protein. ",
Os05g0115800 ,"Mitogen-activated protein kinase (MAPK) phosphatase, Negative regulation of wound responses, Negative regulator of grain size, Positive regulator of grain number, Similar to MAP kinase phosphatase. ","Biological Process: protein dephosphorylation (GO:0006470), Biological Process: dephosphorylation (GO:0016311), Molecular Function: protein tyrosine phosphatase activity (GO:0004725), Molecular Function: protein tyrosine/serine/threonine phosphatase activity (GO:0008138), Molecular Function: phosphatase activity (GO:0016791), "
Os05g0115900 ,"Glycoside hydrolase, family 20 protein., Similar to beta-hexosaminidase beta chain. ","Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: beta-N-acetylhexosaminidase activity (GO:0004563), Molecular Function: cation binding (GO:0043169)"
Os05g0116000 ,"Cupin, RmlC-type domain containing protein. ",Molecular Function: nutrient reservoir activity (GO:0045735)
Os05g0116100,Dehydroascorbate reductase.,Molecular Function: protein binding (GO:0005515)
Os05g0117798,"Kinesin, motor region domain containing protein.","Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)"
Os05g0118800,Conserved hypothetical protein.,
Os05g0119100,Hypothetical protein.,
Os05g0119200,Similar to EST C27893 corresponds to a region of the predicated gene.,
Os05g0119300 ,Similar to ESTs AA754121. ,
Os05g0119850,Hypothetical protein.,
Os05g0120100 ,"Similar to Splicing factor RSZ33., Similar to Splicing factor, arginine/serine-rich 6. ","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)"
Os05g0120200,"Similar to ATPase, coupled to transmembrane movement of substances.","Cellular Component: membrane (GO:0016020), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)"
Os05g0120700,"ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter family protein.",
Os05g0121000 ,Protein of unknown function DUF1218 family protein. ,
Os05g0121200,Similar to Transmembrane transport protein-like protein.,Cellular Component: integral to membrane (GO:0016021)
Os05g0121400 ,"Conserved hypothetical protein., Similar to Transcription factor IIIA. ",", Cellular Component: intracellular (GO:0005622), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)"
Os05g0121600,"AP2/EREBP family transcription factor, Starch biosynthesis","Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700)"
Os05g0121800,Conserved hypothetical protein.,
Os05g0122800 ,"Tetraspanin domain containing protein., Similar to senescence-associated protein. ",Cellular Component: integral to membrane (GO:0016021)
Os05g0123100,"Glycosyl transferase, family 43 protein.","Cellular Component: membrane (GO:0016020), Molecular Function: galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity (GO:0015018)"
Os05g0123200 ,"Similar to IQD1., IQ calmodulin-binding region domain containing protein. ",Molecular Function: protein binding (GO:0005515)
Os05g0125200,"Concanavalin A-like lectin/glucanase, subgroup domain containing protein.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: binding (GO:0005488), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os05g0125250,Non-protein coding transcript.,
Os05g0125300,Similar to Receptor protein kinase-like protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os05g0125400,Similar to protein kinase APK1B.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os05g0125500,"Similar to Isovaleryl-CoA dehydrogenase, mitochondrial precursor (EC 1.3.99.10) (IVD).","Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: acyl-CoA dehydrogenase activity (GO:0003995), Molecular Function: oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627), Molecular Function: flavin adenine dinucleotide binding (GO:0050660)"
Os05g0125600 ,"Protein of unknown function DUF1677, Oryza sativa family protein., Non-protein coding transcript. ",
Os05g0126100 ,"Tetraspanin domain containing protein., Similar to predicted protein. ",Cellular Component: integral to membrane (GO:0016021)
Os05g0126200,Conserved hypothetical protein.,
Os05g0126300,Conserved hypothetical protein.,
Os05g0126700,Conserved hypothetical protein.,
Os05g0127200 ,Similar to Phospholipase C (Fragment). ,"Biological Process: lipid metabolic process (GO:0006629), Biological Process: signal transduction (GO:0007165), Biological Process: intracellular signal transduction (GO:0035556), Molecular Function: phosphatidylinositol phospholipase C activity (GO:0004435), Molecular Function: phospholipase C activity (GO:0004629), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: protein binding (GO:0005515), Molecular Function: phosphoric diester hydrolase activity (GO:0008081)"
Os05g0127400,Similar to DnaJ subfamily B member 13.,Molecular Function: heat shock protein binding (GO:0031072)
Os05g0127500,Similar to Leucoanthocyanidin dioxygenase-like protein.,"Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: iron ion binding (GO:0005506), Molecular Function: oxidoreductase activity (GO:0016491), Molecular Function: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706)"
Os05g0128000,Homeodomain-like containing protein.,
Os05g0128100 ,"Hypothetical conserved gene., Conserved hypothetical protein. ",
Os05g0128400,"Cation diffusion facilitator (CDF) family protein, Bivalent cation transporter, Translocation of Zn, Cd and other heavy metals, Ion homeostasis","Biological Process: cation transport (GO:0006812), Biological Process: transmembrane transport (GO:0055085), Molecular Function: cation transmembrane transporter activity (GO:0008324), Cellular Component: integral component of membrane (GO:0016021)"
Os05g0129300,Basic/leucine zipper protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565), Molecular Function: protein dimerization activity (GO:0046983)"
Os05g0129800,DNA-binding WRKY domain containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: sequence-specific DNA binding transcription factor activity (GO:0003700), Molecular Function: sequence-specific DNA binding (GO:0043565)"
Os05g0129900 ,Tetratricopeptide-like helical domain containing protein. ,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"
Os05g0130100,Hypothetical conserved gene.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)"
Os05g0130300,Conserved hypothetical protein.,
Os05g0130400,"Protein of unknown function DUF247, plant family protein.",
Os05g0130600,Conserved hypothetical protein.,
Os05g0131100,Conserved hypothetical protein.,
Os05g0131500,Ferroporti-1 domain containing protein.,"Biological Process: iron ion transmembrane transport (GO:0034755), Cellular Component: integral to membrane (GO:0016021), Molecular Function: iron ion transmembrane transporter activity (GO:0005381)"
Os05g0131900 ,"Hypothetical conserved gene., Conserved hypothetical protein. ",
Os05g0132100 ,"AMP-dependent synthetase and ligase domain containing protein., Similar to cDNA clone:001-200-C01, full insert sequence. ",", Biological Process: metabolic process (GO:0008152), Molecular Function: catalytic activity (GO:0003824)"
Os05g0133100,Similar to PII protein (Fragment).,"Biological Process: regulation of nitrogen utilization (GO:0006808), Molecular Function: enzyme regulator activity (GO:0030234)"
Os05g0133900 ,"Similar to Shaggy-related protein kinase eta (EC 2.7.1.-) (ASK-eta) (BRASSINOSTEROID-INSENSITIVE 2) (ULTRACURVATA1)., Similar to DNA methyl transferase 106. ",
Os05g0134000 ,"Similar to Glycogen synthase kinase., Similar to Shaggy-related protein kinase eta (EC 2.7.1.-) (ASK-eta) (BRASSINOSTEROID-INSENSITIVE 2) (ULTRACURVATA1). ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), "
Os05g0134200,Similar to Protein phosphatase-2C.,"Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722)"
Os05g0134300,Protein of unknown function DUF408 family protein.,
Os05g0134400 ,"Haem peroxidase, plant/fungal/bacterial family protein., Similar to peroxidase 1. ","Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)"
Os05g0135500,Haem peroxidase family protein.,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)"
