Locus_ID,Description,GO,,
Os04g0429800,Similar to Nicotinate phosphoribosyltransferase-like protein.,"Biological Process: NAD biosynthetic process (GO:0009435), Biological Process: nicotinate nucleotide salvage (GO:0019358), Biological Process: pyridine nucleotide biosynthetic process (GO:0019363), Cellular Component: cytoplasm (GO:0005737), Molecular Function: nicotinate-nucleotide diphosphorylase (carboxylating) activity (GO:0004514), Molecular Function: nicotinate phosphoribosyltransferase activity (GO:0004516)",,
Os04g0430000,Similar to Ser Thr specific protein kinase-like protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os04g0430200 ,"PLC-like phosphodiesterase, TIM beta/alpha-barrel domain domain containing protein., Similar to phospholipase C. ","Biological Process: lipid metabolic process (GO:0006629), Biological Process: intracellular signal transduction (GO:0035556), Molecular Function: phospholipase C activity (GO:0004629), Molecular Function: phosphoric diester hydrolase activity (GO:0008081), ",,
Os04g0430400,Hypothetical conserved gene.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os04g0430600,Similar to OSIGBa0160I14.1 protein.,,,
Os04g0430700,"Peptidase S8, subtilisin-related domain containing protein.","Biological Process: proteolysis (GO:0006508), Biological Process: negative regulation of catalytic activity (GO:0043086), Molecular Function: serine-type endopeptidase activity (GO:0004252), Molecular Function: identical protein binding (GO:0042802)",,
Os04g0430800 ,Similar to OSIGBa0160I14.3 protein. ,"Biological Process: glycerol ether metabolic process (GO:0006662), Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)",,
Os04g0430900,Magnesium transporter MRS2-F.,,,
Os04g0431000,Conserved hypothetical protein.,,,
Os04g0431700,"Exocyst-localized protein, Resistance to planthoppers, (Nipponbare: BPH-susceptible)",,,
Os04g0432000 ,"Similar to Serine/threonine-protein kinase SAPK7., Serine/threonine protein kinase, Hyperosmotic stress response ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524)",,
Os04g0432100,Transcription factor GRAS domain containing protein.,,,
Os04g0432300,Similar to 4-alpha-L-fucosyltransferase.,"Biological Process: protein glycosylation (GO:0006486), Cellular Component: membrane (GO:0016020), Molecular Function: fucosyltransferase activity (GO:0008417)",,
Os04g0432600 ,Similar to H0315E07.2 protein. ,,,
Os04g0433200,Similar to H0315E07.10 protein.,,,
Os04g0433800,Similar to RECQ4A, ATP binding / ATP-dependent helicase/ helicase/ nucleic acid binding.,"Biological Process: DNA replication (GO:0006260), Biological Process: DNA repair (GO:0006281), Biological Process: DNA recombination (GO:0006310), Biological Process: cellular metabolic process (GO:0044237), Cellular Component: intracellular (GO:0005622), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: catalytic activity (GO:0003824), Molecular Function: helicase activity (GO:0004386), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATP-dependent helicase activity (GO:0008026), Molecular Function: ATP-dependent 3'-5' DNA helicase activity (GO:0043140)",
Os04g0433900,Similar to predicted protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: protein binding (GO:0005515), Molecular Function: N-acetyltransferase activity (GO:0008080), Molecular Function: zinc ion binding (GO:0008270)",,
Os04g0434600,Similar to OSIGBa0102D10.3 protein.,"Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)",,
Os04g0434700,Non-protein coding transcript.,,,
Os04g0434800 ,Similar to Thylakoid-bound ascorbate peroxidase (EC 1.11.1.11) (Fragment). ,"Biological Process: response to oxidative stress (GO:0006979), Biological Process: oxidation-reduction process (GO:0055114), Molecular Function: peroxidase activity (GO:0004601), Molecular Function: heme binding (GO:0020037)",,
Os04g0435100,Amino acid/polyamine transporter I family protein.,"Biological Process: amino acid transmembrane transport (GO:0003333), Biological Process: transport (GO:0006810), Biological Process: amino acid transport (GO:0006865), Biological Process: transmembrane transport (GO:0055085), Cellular Component: membrane (GO:0016020), Cellular Component: integral to membrane (GO:0016021), Molecular Function: amino acid transmembrane transporter activity (GO:0015171)",,
Os04g0435500 ,"Glutathione S-transferase, C-terminal-like domain containing protein. ",Molecular Function: protein binding (GO:0005515),,
Os04g0435700,Similar to UVB-resistance protein UVR8.,,,
Os04g0436300,Protein disulphide isomerase isoform/multifunctional endoplasmic reticulum luminal polypeptide (D-ERp60).,"Biological Process: glycerol ether metabolic process (GO:0006662), Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035), Molecular Function: isomerase activity (GO:0016853)",,
Os04g0436400,Conserved hypothetical protein.,,,
Os04g0437000,No apical meristem (NAM) protein domain containing protein.,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: DNA binding (GO:0003677)",,
Os04g0437300,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Biological Process: protein ubiquitination (GO:0016567), Cellular Component: ubiquitin ligase complex (GO:0000151), Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: binding (GO:0005488)",,
Os04g0437600 ,"Mitogen activated protein kinase kinase kinase 3 domain containing protein., Similar to H0315A08.7 protein. ","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), ",,
Os04g0438101,Similar to H0315A08.9 protein.,,,
Os04g0438200,Similar to H0315A08.10 protein.,,,
Os04g0438300,Uncharacterised protein family UPF0090 domain containing protein.,,,
Os04g0438600,"Glycolipid transfer protein, GLTP domain containing protein.","Biological Process: glycolipid transport (GO:0046836), Cellular Component: cytoplasm (GO:0005737), Molecular Function: glycolipid transporter activity (GO:0017089), Molecular Function: glycolipid binding (GO:0051861)",,
Os04g0439100 ,"Similar to H0525C06.4 protein., T-complex 11 family protein. ",,,
Os04g0439300,Similar to H0525C06.6 protein.,,,
Os04g0439400,Similar to H0525C06.6 protein.,,,
Os04g0439600,Regulator of chromosome condensation/beta-lactamase-inhibitor protein II domain containing protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,
Os04g0441800,"TGF-beta receptor, type I/II extracellular region family protein.","Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)",,
Os04g0441900 ,"Cleft lip and palate transmembrane 1 family protein., Similar to transmembrane CLPTM1 family protein., Similar to predicted protein. ",,,
Os04g0442000,Similar to Auxin response factor 2 (ARF1-binding protein) (ARF1-BP).,"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Biological Process: response to hormone stimulus (GO:0009725), Cellular Component: nucleus (GO:0005634), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein dimerization activity (GO:0046983)",,
Os04g0442100,Smr protein/MutS2 C-terminal domain containing protein.,,,
Os04g0442300 ,"A-type response regulator, Cytokinin signaling ","Biological Process: two-component signal transduction system (phosphorelay) (GO:0000160), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Molecular Function: two-component response regulator activity (GO:0000156)",,
Os04g0442700,Hypothetical gene.,,,
Os04g0442800,Similar to Phragmoplast-associated kinesin-related protein 1 (Fragment).,"Biological Process: microtubule-based movement (GO:0007018), Molecular Function: microtubule motor activity (GO:0003777), Molecular Function: ATP binding (GO:0005524)",,
Os04g0443700,Conserved hypothetical protein.,,,
Os04g0444300,Similar to ARGOS.,,,
Os04g0444900,Similar to Alfin-1.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os04g0445000,Similar to Potassium channel SKOR (Stelar K(+) outward rectifying channel).,Molecular Function: protein binding (GO:0005515),,
Os04g0445050,Non-protein coding transcript.,,,
Os04g0445200,RmlC-like jelly roll fold domain containing protein.,,,
Os04g0445400,Similar to OSIGBa0140O07.6 protein.,,,
Os04g0445600,Homeodomain-like containing protein.,,,
Os04g0446200,Similar to OSIGBa0140O07.13 protein.,,,
Os04g0446300,Microsomal signal peptidase 25 kDa subunit family protein.,"Biological Process: signal peptide processing (GO:0006465), Cellular Component: signal peptidase complex (GO:0005787), Cellular Component: integral to membrane (GO:0016021), Molecular Function: peptidase activity (GO:0008233)",,
Os04g0446401,Conserved hypothetical protein.,,,
Os04g0446500 ,"Similar to OSIGBa0140O07.15 protein., Similar to FK506-binding protein 2 precursor (EC 5.2.1.8) (Peptidyl-prolyl cis- trans isomerase) (PPIase) (Rotamase) (FKBP-13) (FKBP-15). ",", Biological Process: protein folding (GO:0006457)",,
Os04g0446750,Hypothetical gene.,,,
Os04g0447800,Glutamate decarboxylase (EC 4.1.1.15).,"Biological Process: glutamate metabolic process (GO:0006536), Biological Process: carboxylic acid metabolic process (GO:0019752), Molecular Function: catalytic activity (GO:0003824), Molecular Function: glutamate decarboxylase activity (GO:0004351), Molecular Function: carboxy-lyase activity (GO:0016831), Molecular Function: pyridoxal phosphate binding (GO:0030170)",,
Os04g0448100,Protein of unknown function DUF1644 family protein.,,,
Os04g0448300 ,Peptidase A1 domain containing protein. ,"Biological Process: proteolysis (GO:0006508), Molecular Function: aspartic-type endopeptidase activity (GO:0004190)",,
Os04g0448600 ,ChaC-like protein family protein. ,,,
Os04g0448800 ,Similar to Mitochondrial phosphate transporter (Fragment). ,,,
Os04g0448900,Similar to Zeaxanthin epoxidase.,"Biological Process: metabolic process (GO:0008152), Biological Process: abscisic acid biosynthetic process (GO:0009688), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: chloroplast (GO:0009507), Cellular Component: membrane (GO:0016020), Molecular Function: protein binding (GO:0005515), Molecular Function: zeaxanthin epoxidase [overall] activity (GO:0009540), Molecular Function: oxidoreductase activity (GO:0016491)",,
Os04g0448950,Similar to H0818E04.7 protein.,,,
Os04g0449000 ,Similar to H0818E04.8 protein. ,", Biological Process: mitochondrial transport (GO:0006839), Cellular Component: mitochondrion (GO:0005739), Cellular Component: membrane (GO:0016020), Molecular Function: binding (GO:0005488)",,
Os04g0449400,Similar to H0818E04.11 protein.,Molecular Function: catalytic activity (GO:0003824),,
Os04g0449450,Hypothetical gene.,,,
Os04g0449500,Similar to H0818E04.12 protein.,,,
Os04g0449900 ,"Similar to RNA Binding Protein 47., Non-protein coding transcript. ","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676), ",,
Os04g0450000,"Zinc finger, FYVE/PHD-type domain containing protein.",,,
Os04g0450200,Pentatricopeptide repeat containing protein.,,,
Os04g0450400,Similar to H0818E04.19 protein.,"Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",,
Os04g0450500,Similar to H0818E04.20 protein.,,,
Os04g0450600,Similar to H0818E04.21 protein.,,,
Os04g0450701,Hypothetical protein.,,,
Os04g0451200 ,"UDP-glucuronosyl/UDP-glucosyltransferase family protein., Similar to H0815C01.4 protein. ","Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",,
